Maize_variety,Median,Cmpny_ctgry
Agriseed H351,12000,International
Aminika 505,10500,Domestic
Cholima 3,12000,International
CP 201 ( yellow in Color),20000,International
CP 808,20000,International
DH 04,12000,International
DH01,12000,International
DK 777,12000,International
DK 8031,12000,International
DK 8051,12000,International
DK 8071,12000,International
DK83-50,12000,International
DKC 8033,12000,International
DKC 8053,12000,International
DKC 9089,12000,International
H 515,12000,International
H513,12000,International
H519,12000,International
H614,12000,International
H628,12000,International
H6303,10000,Domestic
H632,11500,Domestic
KH 500- 43A,11500,Domestic
KITALE H614 D,12000,International
KITALE H625,12000,International
Lubango Hybrid,10000,Domestic
MAMSH913,9500,Goverment
Meru 405,10000,Domestic
MERU H500,11000,Domestic
MERU H501,11000,Domestic
MERU H600,11000,Domestic
MERU HB 513,10000,Domestic
MERU HB 515,10000,Domestic
MERU HB 623,10000,Domestic
MERU HB515,11500,Domestic
MERU LISHE 503,11000,Domestic
PAN 15,12000,International
Pan 19,12000,International
PAN 23,12000,International
PAN 301,12000,International
PAN 3M-01,12000,International
PAN 4 M-17,12000,International
PAN 53,12000,International
PAN 6243,12000,International
PAN 63,11750,Domestic
PAN 6549,12000,International
PAN 67,12000,International
PAN 691,12000,International
PHB 30G19,12000,International
PHB 3253,12000,International
PHB 3289,12000,International
PHB 5332,12000,International
PHB30A15,12000,International
PHB30G97,12000,International
PHB30H83,12000,International
SC 403,12000,International
SC 407,12000,International
SC 513,12000,International
SC 529,12000,International
SC 627,12000,International
SC 719,12000,International
SC 917,12000,International
SC419,12000,International
Shoka 523,8000,Goverment
SITUKA 1 (OPV),8000,Goverment
Situka 2,8000,Goverment
Situka-M1,8000,Goverment
STAHA (OPV),6000,Goverment
SY 624,10000,Domestic
SY 634,12000,International
SY514 (hyprid),12000,International
TAN H600,10500,Domestic
TMV 1 (OPV),8000,Goverment
TZH 536,6000,Goverment
TZH 538,11000,Domestic
UH 615,8000,Goverment
UH 6303,8000,Goverment
UH615,9000,Goverment
UHS 5350,9000,Goverment
WE2112,10000,Domestic
WH 505,11000,Domestic
ZMS 402,11000,Domestic
ZMS 600,10750,Domestic
ZMS 606,10000,Domestic
